District code,State,District,Latitude,Longitude,Population,Male,Female,Literate,Male_Literate,Female_Literate,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Workers,Male_Workers,Female_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,LPG_or_PNG_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Total_Power_Parity,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Above_Rs_545000,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Ownership_Owned_Households,Ownership_Rented_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,sex_ratio,Literacy Rate,Youth_Dependency_Ratio,Elderly_Dependency_Ratio
562,Karnataka,Dharwad,15.343831376975173,75.13831264108359,1847023,937206,909817,1301664,711776,589888,252596,383041,185530,227113,143453,137768,34302,1363803,428556,1792359,784833,543776,241057,1062190,164279,207642,16463,396449,1390020,386834,28747,1486,715,29037,2748,199707,283397,140584,988,347962,15013,49585,3519,289,801,937,284,349008,212091,1017935,505688,322577,259494,45952,13714,17758,275419,87134,106104,213137,97.0,70.0,201.29704481814872,63.78972805366154
564,Karnataka,Haveri,14.737582809224318,75.3961230607966,1597668,819128,778540,1085443,603793,481650,240925,430529,201965,158442,84357,55310,16830,1188358,383494,1571852,730066,490731,239335,867602,203055,311263,20217,195531,1281878,297927,2406,419,68,9834,702,315076,98488,41517,144,295937,2456,17819,2240,353,671,482,52,288495,121420,904453,426094,266586,229883,42560,10776,13722,280133,37221,164716,91633,95.0,68.0,212.26607274451177,62.56506780194042
565,Karnataka,Bellary,15.074377548209377,76.47228471074374,2452595,1236954,1215641,1421621,813440,608181,275785,529576,219702,203139,121453,89475,29367,1468497,787762,2256259,1116880,703258,413622,1335715,258080,406092,22832,429876,2103633,320834,14014,1029,284,8044,54,371604,251876,114040,373,440374,9626,40190,3886,415,973,1010,271,417150,156110,1487013,617276,346905,338539,66300,16362,20496,366781,102920,202155,164676,98.0,58.0,240.8992087818091,56.19933384741995
566,Karnataka,Chitradurga,14.29102220394736,76.57821957236843,1659456,840843,818613,1087392,607188,480204,188329,332648,196470,217567,132435,75262,22078,1164789,452975,1617764,856587,513311,343276,802869,286245,294337,26235,249770,1520553,128751,3175,322,84,3778,128,349704,97644,60522,218,307257,5711,28897,2374,365,699,534,60,270699,107142,891230,460057,306412,243077,54314,10778,12905,298987,46758,190306,86859,97.0,66.0,193.72164753497935,66.603051361027
567,Karnataka,Davanagere,14.330414586709884,75.91723841166937,1945497,986400,959097,1308540,720637,587903,242130,446793,206686,269748,154781,123863,32375,1476376,467414,1943790,875207,585639,289568,1070290,230846,295873,31438,317050,1658465,265805,5420,307,164,6417,1743,354680,176011,100812,345,372671,7320,39416,3062,406,865,723,91,353628,188046,1068518,538551,336173,285888,54132,12634,15775,320621,73448,208670,121315,97.0,67.0,198.40609338762718,62.42175764226601
568,Karnataka,Shimoga,14.063845885634592,75.17882078103197,1752753,877415,875338,1263016,674938,588078,191641,385978,292481,251095,132138,111753,18036,1383122,355222,1738344,780598,534487,246111,972155,204493,246464,15087,314554,1479424,234664,26521,400,120,9234,367,352444,201662,128087,225,363835,8791,35207,3119,336,796,816,200,369749,286129,913150,513297,325542,292771,45042,7655,9248,315329,77868,168665,181024,100.0,72.0,177.89895518578913,63.421761670144186
569,Karnataka,Udupi,13.450404228534568,74.72009990316337,1177361,562131,615230,926429,465704,460725,142493,286193,176260,178094,109663,107279,18444,1018426,204028,1222454,513241,335399,177842,664120,63143,63390,10580,376128,1009179,96740,65838,232,161,4534,155,269817,115572,83810,119,224814,9070,24817,2100,209,518,534,259,229830,214808,559565,340903,276234,156127,28839,7088,9418,220662,21037,33715,185404,109.0,79.0,164.1419993370548,81.03008773756758
570,Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,1137961,566622,571339,818345,438257,380088,114570,257550,160083,177585,96470,72420,12631,891309,204371,1095680,565774,357889,207885,572187,155392,126600,8873,274909,1004553,101235,26000,182,109,4710,4,311660,80766,74534,198,238505,4510,18727,1996,239,538,521,151,246504,167369,564994,341380,230864,194153,33374,4902,5721,216586,41283,128194,108037,101.0,72.0,165.50295857988166,67.62669166324916
571,Karnataka,Tumkur,13.592467760074973,77.02297966260545,2678980,1350594,1328386,1813391,1006024,807367,270373,500593,386998,423738,213588,143735,30687,1969712,686274,2655986,1354646,837512,517134,1324334,505910,352286,54523,441927,2413812,245923,9130,477,187,5067,161,685443,204799,116539,267,562769,7971,41751,4067,613,1186,911,116,519944,206821,1351461,760936,564196,441261,86767,13095,15383,532693,93096,350215,163780,98.0,68.0,177.60508111063217,74.14500036796787
573,Karnataka,Mandya,12.574901806239744,76.81570098522172,1805769,905085,900684,1149649,638668,510981,145178,309476,226552,308624,157839,102838,19987,1270494,504734,1775228,871408,575203,296205,934361,388981,216159,17834,248434,1712695,77801,8506,322,299,3607,109,458867,103435,80452,151,391033,3367,20265,2628,408,779,609,53,388674,159818,902307,527236,375100,297441,56457,9232,10999,370797,47339,208469,160714,100.0,64.0,171.13911037941264,71.14461076254277
